row_number,term_code,subj_code,crse_numb,crse_title,crse_equiv,crse_text,note_row,crn,ptrm_code,seq_numb,schd_code,schd_type,schd_sort,credit_hrs,link_conn,start_date,end_date,sundays,mondays,tuesdays,wednesdays,thursdays,fridays,saturdays,times,locations,max_enrl,enrl,seats,wlist,perc_full,xlist_max,xlist_cur,instructors,tuition_code,tuition_desc,bill_hrs,note_bottom,notes_skill,crse_row_num,crse_row_total
10,202620,MECH,3500,Dynamics of Machines,,,R,22017,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1435-1725,Sexton A. L. MACDONALD-D BLDG D406,128,124,4,,96.9%,,,Warkentin A.,,,0,,[],4,31
11,202620,MECH,3810,Thermodynamics,,,R,22018,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,M,,W,,F,,1235-1325 1235-1325 1235-1325,Sexton A. L. MACDONALD-D BLDG D406 Sexton A. L. MACDONALD-D BLDG D406 Sexton A. L. MACDONALD-D BLDG D406,135,130,5,,96.3%,,,Ugursal V.,,,3,,[],5,31
12,202620,MECH,3810,Thermodynamics,,,R,22019,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,1435-1725,Sexton A. L. MACDONALD-D BLDG D406,135,130,5,,96.3%,,,Ugursal V.,,,0,,[],5,31
13,202620,MECH,3905,Intro to Mechatronics,,,R,22020,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,,F,,1005-1125 1005-1125,Sexton B BUILDING B310 Sexton A. L. MACDONALD-D BLDG D406,125,123,2,,98.4%,,,Seto M.,,,3,,[],6,31
14,202620,MECH,3905,Intro to Mechatronics,,,R,22021,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,0835-1025,Sexton ELECTRICAL ENGI-C BLDG C248,63,65,-2,,FULL,,,Seto M.,,,0,,[],6,31
15,202620,MECH,3905,Intro to Mechatronics,,,R,22022,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1405-1555,Sexton ELECTRICAL ENGI-C BLDG C248,62,58,4,,93.5%,,,Seto M.,,,0,,[],6,31
16,202620,MECH,4025,Design Project II,,,R,22023,1,01,L,Lec,1,5,T0,07-JAN-2026,09-APR-2026,,,,,,F,,1335-1625,Sexton B BUILDING B225,125,113,12,,90.4%,,,Johnston C. (P) Adderson R.  Farhat Z.  Hadavand M.  Warkentin A.,,,5,,[],7,31
17,202620,MECH,4025,Design Project II,,,R,22024,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1035-1225,Sexton B BUILDING B225,125,113,12,,90.4%,,,Johnston C. (P) Adderson R.  Farhat Z.  Hadavand M.  Warkentin A.,,,0,,[],7,31
18,202620,MECH,4230,Mats Science for Metal AM,,,R,22031,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1305-1425,Sexton A. L. MACDONALD-D BLDG D501,48,42,6,,87.5%,,,Nasiri A.,,,3,,[],8,31
19,202620,MECH,4230,Mats Science for Metal AM,,,R,22032,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,0835-1025,Sexton B BUILDING ADDITION B228,48,42,6,,87.5%,,,Nasiri A.,,,0,,[],8,31
20,202620,MECH,4290,Corrosion & Degradation of Mat,,,R,22033,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255 1135-1255,Sexton A. L. MACDONALD-D BLDG D501 Sexton B BUILDING ADDITION B308,38,26,12,,68.4%,48,28,Jarjoura G.,,,3,,[],9,31
21,202620,MECH,4290,Corrosion & Degradation of Mat,,,,22034,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,0835-1025,Sexton B BUILDING ADDITION B227,38,26,12,,68.4%,48,28,Jarjoura G.,,,0,,[],9,31
22,202620,MECH,4300,Stress Analysis,,,R,22035,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,1135-1255,Sexton RALPH M MEDJUCK BLDG B015,125,111,14,,88.8%,,,Jarjoura G.,,,3,,[],10,31
23,202620,MECH,4300,Stress Analysis,,,R,22036,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,1435-1625,Sexton A. L. MACDONALD-D BLDG D410,63,50,13,,79.4%,,,Jarjoura G.,,,0,,[],10,31
24,202620,MECH,4300,Stress Analysis,,,R,22037,1,T02,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1435-1625,Sexton INDUSTRIAL ENG & CONT ED ADDIT 220,62,62,0,,FULL,,,Jarjoura G.,,,0,,[],10,31
25,202620,MECH,4444,"Mechatronics, Technical Electi",,,R,22038,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M M,,W W,,,,1305-1425 1305-1425,Sexton H. R. THEAKSTON-C1 BLDG C1255 Sexton INDUSTRIAL ENG & CONT ED ADDIT 120,40,37,3,-1,92.5%,,,Bauer R.,,,3,,[],11,31
26,202620,MECH,4444,"Mechatronics, Technical Electi",,,R,22039,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M M,,,,,,0835-1025 0835-1025,Sexton H. R. THEAKSTON-C1 BLDG C1255 Sexton INDUSTRIAL ENG & CONT ED ADDIT 120,40,37,3,-1,92.5%,,,Bauer R.,,,0,,[],11,31
27,202620,MECH,4500,Vibrations,,,R,24034,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255,Sexton INDUSTRIAL ENG & CONT ED ADDIT 120,40,28,12,0,70.0%,,,Adderson R.,,,3,,[],12,31
28,202620,MECH,4500,Vibrations,,,R,24035,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,0835-1025,Sexton H. R. THEAKSTON-C1 BLDG C1255,40,28,12,0,70.0%,,,Adderson R.,,,0,,[],12,31
29,202620,MECH,4540,Aerodynamics,,,R,22040,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255 1135-1255,Sexton A. L. MACDONALD-D BLDG D410 Sexton INDUSTRIAL ENG & CONT ED ADDIT 121,50,19,31,0,38.0%,,,Saeedi M.,,,3,,[],13,31
30,202620,MECH,4540,Aerodynamics,,,R,22041,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,0835-1025,Sexton INDUSTRIAL ENG & CONT ED ADDIT 120,50,19,31,0,38.0%,,,Saeedi M.,,,0,,[],13,31
31,202620,MECH,4670,Finite-Element Simulation Tech,,,R,22042,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,1305-1425 1305-1425,Sexton A. L. MACDONALD-D BLDG D410 Sexton RICHARD MURRAY DESIGN BUILDING G109,38,0,38,,0.0%,,,Taheri F.,,,3,,[],14,31
32,202620,MECH,4670,Finite-Element Simulation Tech,,,R,22043,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M M,,,,,,0835-1025 0835-1025,Sexton ELECTRICAL ENGI-C BLDG C248 Sexton A. L. MACDONALD-D BLDG D410,38,0,38,,0.0%,,,Taheri F.,,,0,,[],14,31
33,202620,MECH,4900,Systems II,,,R,22046,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Sexton B BUILDING B310,125,113,12,,90.4%,,,Bauer R.,,,3,,[],15,31
